Date,Open,High,Low,Close,Volume
04/01/2022,203,238,179,220,118075
05/01/2022,219,242,196,212,117591
06/01/2022,242,242,186,216,118054
07/01/2022,187,237,185,206,118730
10/01/2022,202,233,184,211,118508
11/01/2022,199,216,165,195,118355
12/01/2022,184,201,162,194,119060
13/01/2022,185,219,160,188,118310
14/01/2022,187,229,182,227,118330
17/01/2022,229,230,182,205,118860
18/01/2022,202,213,160,183,118851
19/01/2022,190,199,157,197,118618
20/01/2022,197,221,166,218,118291
21/01/2022,188,237,188,237,118659
24/01/2022,207,237,197,237,118814
25/01/2022,218,236,157,158,118385
26/01/2022,178,194,156,184,119311
27/01/2022,182,217,156,213,118680
28/01/2022,187,217,173,202,118643
31/01/2022,180,219,168,203,118579
01/02/2022,207,208,157,184,118057
02/02/2022,186,189,152,174,119022
03/02/2022,177,203,154,200,118239
04/02/2022,200,215,169,190,118459
07/02/2022,184,222,181,215,118632
08/02/2022,206,282,189,281,119044
09/02/2022,251,305,247,278,118325
10/02/2022,262,296,223,223,118481
11/02/2022,229,261,211,249,118650
14/02/2022,259,266,216,231,118172
15/02/2022,261,290,228,258,118311
16/02/2022,257,290,230,266,118449
17/02/2022,265,266,196,221,118579
18/02/2022,196,251,196,216,118446
21/02/2022,232,247,200,231,117996
22/02/2022,218,237,173,187,118960
23/02/2022,196,210,166,195,118526
24/02/2022,180,247,167,245,118579
25/02/2022,216,250,202,227,118106
01/03/2022,205,214,157,158,118742
02/03/2022,188,188,151,182,118629
03/03/2022,180,216,152,200,118946
04/03/2022,215,218,172,206,118563
07/03/2022,177,215,174,181,118574
08/03/2022,182,214,157,158,118588
09/03/2022,162,194,149,183,118786
10/03/2022,173,204,154,202,118495
11/03/2022,203,217,173,209,118611
14/03/2022,195,213,173,203,118604
15/03/2022,182,247,181,216,117900
16/03/2022,216,245,187,204,118429
17/03/2022,219,220,173,201,118450
18/03/2022,185,206,166,194,118443
21/03/2022,196,196,150,183,118572
22/03/2022,183,183,130,131,118075
23/03/2022,159,161,126,155,118442
24/03/2022,134,178,129,176,118165
25/03/2022,148,178,140,172,118734
28/03/2022,161,172,135,162,117797
29/03/2022,165,165,126,127,119120
30/03/2022,144,161,127,149,118585
31/03/2022,131,172,130,150,118336
01/04/2022,170,173,133,156,119040
04/04/2022,133,166,128,142,118542
05/04/2022,157,159,118,148,118967
06/04/2022,125,153,118,150,119064
07/04/2022,146,171,120,170,118523
08/04/2022,163,171,132,156,118557
11/04/2022,160,168,131,165,118941
12/04/2022,147,184,135,182,118736
13/04/2022,159,182,146,179,118657
14/04/2022,158,180,132,161,118627
19/04/2022,156,166,126,165,118961
20/04/2022,135,165,124,155,119010
21/04/2022,130,155,111,113,119038
22/04/2022,130,145,111,144,118653
25/04/2022,120,145,109,140,118778
26/04/2022,110,147,110,147,118181
27/04/2022,147,147,111,140,118796
28/04/2022,125,141,105,133,118770
29/04/2022,135,136,104,134,118957
