Date,Open,High,Low,Close,Volume
04/01/2022,263,268,203,214,67870
05/01/2022,205,238,203,222,72179
06/01/2022,221,279,216,268,64726
07/01/2022,277,277,232,241,64277
10/01/2022,242,254,216,235,65274
11/01/2022,244,245,202,213,66300
12/01/2022,223,231,199,218,66517
13/01/2022,217,274,207,264,63422
14/01/2022,266,284,248,269,60596
17/01/2022,271,281,234,239,62535
18/01/2022,238,288,232,277,61339
19/01/2022,280,320,269,300,58224
20/01/2022,306,315,263,266,58735
21/01/2022,264,288,254,272,59476
24/01/2022,281,297,250,272,63001
25/01/2022,267,363,259,350,58409
26/01/2022,359,359,291,314,57833
27/01/2022,299,323,269,283,59302
28/01/2022,270,289,253,271,62199
31/01/2022,266,291,253,267,61266
01/02/2022,269,360,263,356,58567
02/02/2022,348,382,324,369,56745
03/02/2022,375,381,291,297,55703
04/02/2022,299,317,278,298,60743
07/02/2022,291,322,279,289,58874
08/02/2022,297,332,277,319,56603
09/02/2022,319,323,265,283,58151
10/02/2022,283,290,216,222,62974
11/02/2022,224,242,203,219,66838
14/02/2022,222,244,204,229,67357
15/02/2022,236,300,222,294,61231
16/02/2022,293,318,274,293,58299
17/02/2022,287,297,238,251,61330
18/02/2022,250,265,224,237,61406
21/02/2022,239,247,212,230,64308
22/02/2022,238,244,189,206,76467
23/02/2022,204,211,177,193,79247
24/02/2022,184,221,181,211,76761
25/02/2022,210,221,185,190,79791
28/02/2022,200,217,186,199,73848
01/03/2022,205,220,184,192,78853
02/03/2022,189,218,187,209,84175
03/03/2022,211,269,195,263,67006
04/03/2022,270,288,252,274,61377
07/03/2022,283,295,250,266,59421
08/03/2022,280,332,258,310,59790
09/03/2022,313,324,263,293,58618
10/03/2022,298,300,229,244,66091
11/03/2022,247,257,219,228,64806
14/03/2022,227,238,192,202,69624
15/03/2022,208,250,195,238,70638
16/03/2022,249,260,227,243,62656
17/03/2022,249,259,188,194,71816
18/03/2022,189,213,184,187,85004
21/03/2022,204,206,178,198,70916
22/03/2022,202,247,184,234,72807
23/03/2022,242,244,210,227,65407
24/03/2022,233,238,196,203,65360
25/03/2022,201,221,190,199,73968
28/03/2022,206,206,175,189,79046
29/03/2022,195,202,159,168,88014
30/03/2022,161,180,149,173,94249
31/03/2022,157,192,153,183,95776
01/04/2022,186,189,162,174,80436
04/04/2022,180,202,166,187,92551
05/04/2022,180,201,162,172,86380
06/04/2022,181,193,163,182,92292
07/04/2022,191,217,172,206,82904
08/04/2022,214,221,192,210,78501
11/04/2022,216,224,185,193,78714
12/04/2022,197,233,182,218,75765
13/04/2022,228,232,194,199,71865
14/04/2022,213,221,185,191,71098
19/04/2022,192,200,172,183,93814
20/04/2022,180,204,176,195,83026
21/04/2022,194,223,183,216,80874
22/04/2022,211,242,204,217,67018
25/04/2022,213,227,197,205,73287
26/04/2022,215,236,197,217,67742
27/04/2022,221,251,207,243,66090
28/04/2022,241,250,208,221,64303
29/04/2022,228,246,211,225,67785
