,Time,Transaction,Value,Amount
0,0.48,bid,27,3
1,0.496,bid,27,3
2,0.512,bid,27,3
3,0.528,bid,27,3
4,0.544,bid,27,3
5,0.56,bid,27,3
6,0.576,bid,27,3
7,0.592,bid,27,3
8,0.608,bid,27,3
9,0.624,bid,27,3
10,0.64,bid,27,3
11,0.656,bid,27,3
12,0.672,bid,27,3
13,0.688,bid,27,3
14,0.704,bid,27,3
15,0.72,bid,27,3
16,0.736,bid,27,3
17,0.752,bid,27,3
18,0.768,bid,27,3
19,0.784,bid,27,3
20,0.8,bid,27,3
21,0.816,bid,27,3
22,0.832,bid,27,3
23,0.848,bid,27,3
24,0.864,bid,27,3
25,0.88,bid,27,3
26,0.896,bid,27,3
27,0.912,bid,27,3
28,0.928,bid,27,3
29,0.944,bid,27,3
30,0.96,bid,27,3
31,0.976,bid,27,3
32,0.992,bid,27,3
33,1.008,bid,27,3
34,1.024,bid,27,3
35,1.04,bid,27,3
36,1.056,bid,27,3
37,1.072,bid,27,3
38,1.088,bid,27,3
39,1.104,bid,27,3
40,1.12,bid,27,3
41,1.136,bid,27,3
42,1.152,bid,27,3
43,1.168,bid,27,3
44,1.184,bid,27,3
45,1.2,bid,27,3
46,1.216,bid,27,3
47,1.232,bid,27,3
48,1.248,bid,27,3
49,1.264,bid,27,3
50,1.28,bid,27,3
51,1.296,bid,27,3
52,1.312,bid,27,3
53,1.328,bid,27,3
54,1.344,bid,27,3
55,1.36,bid,27,3
56,1.376,bid,27,3
57,1.392,bid,27,3
58,1.408,bid,27,3
59,1.424,bid,27,3
60,1.44,bid,27,3
61,1.456,bid,27,3
62,1.472,bid,27,3
63,1.488,bid,27,3
64,1.504,bid,183,4
65,1.504,bid,27,3
66,1.52,bid,183,4
67,1.52,bid,27,3
68,1.536,bid,183,4
69,1.536,bid,27,3
70,1.552,bid,183,4
71,1.552,bid,27,3
72,1.568,bid,183,4
73,1.568,bid,27,3
74,1.584,bid,183,4
75,1.584,bid,27,3
76,1.6,bid,183,4
77,1.6,bid,27,3
78,1.616,bid,183,4
79,1.616,bid,27,3
80,1.632,bid,183,4
81,1.632,bid,27,3
82,1.648,bid,183,4
83,1.648,bid,27,3
84,1.664,bid,183,4
85,1.664,bid,27,3
86,1.68,bid,183,4
87,1.68,bid,27,3
88,1.696,bid,183,4
89,1.696,bid,27,3
90,1.696,ask,739,5
91,1.712,bid,183,4
92,1.712,bid,27,3
93,1.712,ask,739,5
94,1.728,bid,183,4
95,1.728,bid,27,3
96,1.728,ask,739,5
97,1.744,bid,183,4
98,1.744,bid,27,3
99,1.744,ask,739,5
100,1.76,bid,183,4
101,1.76,bid,27,3
102,1.76,ask,739,5
103,1.776,bid,183,4
104,1.776,bid,27,3
105,1.776,ask,739,5
